Actual,Predicted,P_LOW,P_MODERATE,P_HIGH
MODERATE,MODERATE,0.08477524178240826,0.9073698902226733,0.007854867994918403
HIGH,HIGH,0.001075668617224024,0.007135219907414287,0.9917891114753616
HIGH,HIGH,1.066374356402258e-05,0.01119709020235014,0.9887922460540859
HIGH,HIGH,0.0005948817373480255,0.034786000605166095,0.964619117657486
LOW,LOW,0.8327675712998448,0.1671416145837759,9.081411637926656e-05
LOW,LOW,0.9225805215704219,0.0773881438245917,3.1334604986475754e-05
MODERATE,MODERATE,0.3315945236913962,0.5335517213825407,0.1348537549260631
MODERATE,MODERATE,0.13617557819866835,0.8635974793522704,0.00022694244906121047
HIGH,HIGH,2.913550875738258e-06,0.04764770483145609,0.9523493816176681
HIGH,HIGH,1.7120489556639655e-06,0.03212357236289499,0.9678747155881493
MODERATE,MODERATE,0.0012834492629340852,0.6553235830779719,0.3433929676590939
HIGH,HIGH,1.7147388619321177e-06,0.04153348610989483,0.9584647991512434
LOW,LOW,0.9100122413048456,0.08997153304001677,1.6225655137628793e-05
MODERATE,MODERATE,0.2858840215499319,0.459085461084025,0.25503051736604315
MODERATE,MODERATE,0.1737514137695861,0.8254202760231362,0.0008283102072777126
HIGH,HIGH,1.633563839483627e-05,0.014670997478710706,0.9853126668828944
HIGH,HIGH,5.852582552623402e-09,0.0013044070176659536,0.9986955871297514
MODERATE,MODERATE,0.047002211507640286,0.9074079639540339,0.04558982453832584
HIGH,HIGH,0.004048590310031767,0.022537033772480067,0.9734143759174881
HIGH,HIGH,0.0004683675751480345,0.059786514589971904,0.9397451178348801
HIGH,HIGH,0.0012744174971178884,0.09536505898250204,0.9033605235203801
HIGH,HIGH,4.4433100780769905e-05,0.02421073602504278,0.9757448308741765
MODERATE,MODERATE,0.0003970817359551026,0.9952387177092797,0.004364200554765128
MODERATE,MODERATE,0.002018334696954736,0.9929387611574427,0.005042904145602627
MODERATE,MODERATE,0.09278834143711175,0.9014567719725077,0.0057548865903804345
MODERATE,MODERATE,0.08477524178240826,0.9073698902226733,0.007854867994918403
HIGH,HIGH,1.6791284635497938e-06,0.041319351319420494,0.9586789695521158
MODERATE,MODERATE,0.00038744605807155825,0.9940776638770923,0.00553489006483627
HIGH,HIGH,6.810080155562225e-05,0.11666514577582514,0.8832667534226193
HIGH,HIGH,0.00012673981277483033,0.0986950983801463,0.901178161807079
MODERATE,MODERATE,0.10101290034188413,0.8386255319167898,0.06036156774132612
LOW,LOW,0.8154185945168261,0.184491755055714,8.965042746004552e-05
LOW,LOW,0.9249569291086917,0.0750066104083276,3.646048298082078e-05
HIGH,HIGH,7.206964692216142e-05,0.12234475344151316,0.8775831769115646
LOW,LOW,0.9076685171610231,0.0923126778067168,1.8805032259883e-05
LOW,LOW,0.6952920214208498,0.21634224187405143,0.0883657367050986
LOW,LOW,0.9652187838410627,0.03451924113600691,0.00026197502293049334
LOW,LOW,0.5765999062001272,0.35337838105532576,0.07002171274454687
LOW,LOW,0.8784656679479794,0.12149687775862819,3.7454293392452495e-05
LOW,LOW,0.9340307888171921,0.06594560002010232,2.3611162705532337e-05
LOW,LOW,0.9740309849902097,0.025937918824094106,3.1096185696247484e-05
LOW,LOW,0.99925458098371,0.0007453805991265529,3.8417163293920434e-08
LOW,LOW,0.9967442989521768,0.0032549363328908095,7.647149324836666e-07
LOW,LOW,0.9978084655030154,0.0021915198828152114,1.461416944718763e-08
HIGH,HIGH,0.00011353948446334458,0.13244253485422727,0.8674439256613095
LOW,LOW,0.9697259999992656,0.03026506644974532,8.933550989274569e-06
LOW,LOW,0.9896269750898385,0.010372705487748105,3.194224133492999e-07
LOW,LOW,0.9948018175429469,0.005196909713509501,1.2727435436317593e-06
LOW,LOW,0.9981646758731026,0.001834542168142034,7.819587552679429e-07
LOW,LOW,0.9780737896725974,0.0218138684992154,0.00011234182818724505
LOW,LOW,0.9992523033214266,0.0007474381489067033,2.585296666601635e-07
LOW,LOW,0.9979591917934068,0.002039549067954749,1.2591386384985243e-06
LOW,LOW,0.9978749976333009,0.0021203698199725824,4.632546726538104e-06
LOW,LOW,0.9934280342024763,0.006567604219753266,4.361577770450042e-06
LOW,LOW,0.98475883957244,0.015240283470929721,8.769566304045572e-07
MODERATE,MODERATE,0.09339101791148399,0.8419415888703949,0.06466739321812119
LOW,LOW,0.9816893166011517,0.018304165538645785,6.517860202559816e-06
LOW,LOW,0.8751050530903318,0.12488460519679669,1.0341712871482934e-05
LOW,LOW,0.9972433169799162,0.0027497073699291894,6.975650154581971e-06
LOW,LOW,0.9256802273565223,0.0743173938793688,2.3787641089111405e-06
LOW,LOW,0.9967943382098331,0.003200976039973936,4.685750192965986e-06
MODERATE,MODERATE,0.05522787030162497,0.9443672087765653,0.00040492092180967207
MODERATE,MODERATE,0.013170867967749527,0.9639882286077992,0.022840903424451435
MODERATE,MODERATE,0.050689601372471284,0.9458858718598845,0.003424526767644263
MODERATE,MODERATE,0.025364523568377782,0.9715214484907101,0.0031140279409122857
MODERATE,MODERATE,0.07039003898309135,0.8847053864899139,0.0449045745269947
LOW,LOW,0.8327675712998448,0.1671416145837759,9.081411637926656e-05
MODERATE,MODERATE,0.00024918756085487106,0.9971141766322076,0.0026366358069375333
MODERATE,MODERATE,0.04127932712743215,0.9584296644697652,0.0002910084028025848
MODERATE,MODERATE,0.0024372062349076384,0.9907767222544753,0.006786071510617023
MODERATE,MODERATE,0.08615920747842239,0.9079594063554286,0.005881386166149057
MODERATE,MODERATE,0.04612936901615189,0.9490727975634707,0.004797833420377391
MODERATE,MODERATE,0.01859042523121225,0.9553525379850675,0.02605703678372026
MODERATE,MODERATE,0.06814247565644217,0.9270413211006157,0.0048162032429420396
MODERATE,MODERATE,0.06251556207374998,0.9299743062233681,0.007510131702881834
MODERATE,MODERATE,0.057148234724184545,0.9008519585353382,0.041999806740477326
MODERATE,MODERATE,0.00016107740618690437,0.9973699206093667,0.002469001984446287
LOW,LOW,0.9292616046991272,0.07069425173291986,4.414356795303263e-05
MODERATE,MODERATE,0.038287136499055026,0.9614089112544929,0.0003039522464520892
MODERATE,MODERATE,0.004495871712576833,0.9852990528166888,0.01020507547073432
MODERATE,MODERATE,0.006006661290668824,0.9783365193857334,0.015656819323597755
MODERATE,MODERATE,0.094628401726248,0.8990881967310524,0.006283401542699563
MODERATE,MODERATE,0.06767910603516841,0.9250060657452486,0.007314828219582854
MODERATE,MODERATE,0.07785367240307207,0.9216267838499695,0.0005195437469584674
MODERATE,MODERATE,0.009861309927758459,0.9742117226338587,0.015926967438382827
HIGH,HIGH,3.0999700718225257e-06,0.04121060496685231,0.9587862950630759
HIGH,HIGH,2.4275342902291628e-06,0.00965558112783439,0.9903419913378754
HIGH,HIGH,1.1546592198066559e-06,0.05984399911080398,0.9401548462299762
LOW,LOW,0.9076685171610231,0.0923126778067168,1.8805032259883e-05
HIGH,HIGH,0.002326850081158828,0.06701953762307657,0.9306536122957647
HIGH,HIGH,0.0005948817373480255,0.034786000605166095,0.964619117657486
HIGH,HIGH,0.0017805358637952727,0.048726145194817334,0.9494933189413874
HIGH,HIGH,3.476159991208877e-05,0.03412129304528969,0.9658439453547982
HIGH,HIGH,1.5844453147360292e-05,0.012204223893494614,0.987779931653358
HIGH,HIGH,6.599830074701154e-09,0.001109191418678197,0.9988908019814917
HIGH,HIGH,3.941129074727891e-06,0.022877079666644547,0.9771189792042807
HIGH,HIGH,3.2749017644930225e-06,0.0059754024835891205,0.9940213226146464
HIGH,HIGH,0.0007720526672985398,0.026179749941071966,0.9730481973916294
HIGH,HIGH,0.0016739901444947406,0.02631878165123829,0.9720072282042669
LOW,LOW,0.6946750637078044,0.21855829796777754,0.08676663832441814
HIGH,HIGH,0.00023994384178775132,0.031478802211929384,0.9682812539462828
HIGH,HIGH,0.0009930896876506445,0.013399356633917451,0.985607553678432
HIGH,HIGH,2.8186855339968084e-05,0.014049490327219302,0.9859223228174407
HIGH,HIGH,9.95541002748888e-06,0.0069801382416440185,0.9930099063483286
HIGH,HIGH,8.680598149685491e-09,0.0010656047282238865,0.998934386591178
HIGH,HIGH,3.101980736556114e-06,0.03607221792642033,0.963924680092843
HIGH,HIGH,2.956925165226624e-06,0.009147297527653014,0.9908497455471817
HIGH,HIGH,0.0008281582834498999,0.02248277607437723,0.976689065642173
HIGH,HIGH,0.0035899101297492304,0.00971828909590439,0.9866918007743463
HIGH,HIGH,0.00023304976614991148,0.02868241237936066,0.9710845378544894
MODERATE,MODERATE,0.3174229946632392,0.5808729838694789,0.10170402146728182
LOW,LOW,0.9652187838410627,0.03451924113600691,0.00026197502293049334
HIGH,HIGH,0.001075668617224024,0.007135219907414287,0.9917891114753616
HIGH,HIGH,1.024867290097954e-05,0.009877011003128478,0.9901127403239706
HIGH,HIGH,0.0005577324891932303,0.046846894091845816,0.952595373418961
LOW,LOW,0.8243002269588732,0.1756202580904845,7.951495064216664e-05
LOW,LOW,0.9225805215704219,0.0773881438245917,3.1334604986475754e-05
MODERATE,MODERATE,0.31104548829025275,0.584589103401781,0.10436540830796619
MODERATE,MODERATE,0.09541905089726788,0.9044215503721883,0.00015939873054401517
HIGH,HIGH,2.9217436555425195e-06,0.041921497112576686,0.9580755811437677
HIGH,HIGH,1.7540240558383182e-06,0.037152470326240854,0.9628457756497033
MODERATE,MODERATE,0.0013491014230978563,0.6236703438794815,0.37498055469742075
LOW,LOW,0.6170353328073714,0.3180018930526572,0.0649627741399714
LOW,LOW,0.9100122413048456,0.08997153304001677,1.6225655137628793e-05
MODERATE,MODERATE,0.2858840215499319,0.459085461084025,0.25503051736604315
MODERATE,MODERATE,0.20468647419169614,0.7943335975155584,0.0009799282927455044
HIGH,HIGH,2.0052849785051084e-05,0.01310875756078422,0.9868711895894308
HIGH,HIGH,6.689438048726748e-09,0.0010667143854696146,0.9989332789250922
MODERATE,MODERATE,0.04070699836525173,0.9169120496825637,0.042380951952184526
HIGH,HIGH,0.0035956594609467324,0.022571991305666745,0.9738323492333866
HIGH,HIGH,0.0003641042777126222,0.06327838943240476,0.9363575062898826
HIGH,HIGH,0.0013141255957726703,0.07945658565759446,0.9192292887466329
HIGH,HIGH,4.4433100780769905e-05,0.02421073602504278,0.9757448308741765
LOW,LOW,0.8922409121682632,0.10773070887774905,2.8378953987836137e-05
MODERATE,MODERATE,0.0021248649425800207,0.9926799601134718,0.005195174943948189
MODERATE,MODERATE,0.09278834143711175,0.9014567719725077,0.0057548865903804345
MODERATE,MODERATE,0.08558903597076441,0.9051557227280984,0.009255241301137076
HIGH,HIGH,1.4875939946033233e-06,0.04057905263327536,0.9594194597727299
MODERATE,MODERATE,0.0004793117953330666,0.9942633072060637,0.005257380998603145
HIGH,HIGH,7.206964692216142e-05,0.12234475344151316,0.8775831769115646
HIGH,HIGH,0.00012769247974492933,0.10860124600102522,0.8912710615192297
MODERATE,MODERATE,0.12438273709114524,0.80553198741361,0.0700852754952449
LOW,LOW,0.8299797933353572,0.16993884522551694,8.13614391258881e-05
LOW,LOW,0.9225805215704219,0.0773881438245917,3.1334604986475754e-05
LOW,LOW,0.9399883419846544,0.059988410609130544,2.3247406215035204e-05
LOW,LOW,0.9076685171610231,0.0923126778067168,1.8805032259883e-05
LOW,LOW,0.718304615523449,0.19891860019061547,0.08277678428593552
LOW,LOW,0.964034633989863,0.03567913127422779,0.00028623473590933923
LOW,LOW,0.5325724588031137,0.3891428089906103,0.07828473220627605
LOW,LOW,0.8883398988064922,0.11161836931158137,4.173188192637003e-05
LOW,LOW,0.9340307888171921,0.06594560002010232,2.3611162705532337e-05
LOW,LOW,0.9791438518488971,0.020828582259875966,2.7565891227118748e-05
LOW,LOW,0.99943638321552,0.0005635764939979737,4.0290481913828976e-08
LOW,LOW,0.9970932459490984,0.0029060694823817793,6.845685197143767e-07
LOW,LOW,0.9979656547386221,0.002034328408204072,1.685317386878803e-08
LOW,LOW,0.9764508543752881,0.02351815931742947,3.0986307282398295e-05
LOW,LOW,0.974280611695497,0.02571113555423159,8.252750271566974e-06
LOW,LOW,0.9912745773379581,0.008725163311731631,2.5935031028935224e-07
LOW,LOW,0.9961159791584154,0.0038830729950561074,9.478465284060577e-07
LOW,LOW,0.9983485193931947,0.001650871477108139,6.091296971463079e-07
LOW,LOW,0.982169213242574,0.01771011718832756,0.00012066956909847664
LOW,LOW,0.9992467230718867,0.0007530045724267446,2.723556866059514e-07
LOW,LOW,0.9979591917934068,0.002039549067954749,1.2591386384985243e-06
LOW,LOW,0.9974393694029127,0.0025571876246682874,3.442972419100459e-06
LOW,LOW,0.9940157233090557,0.005981228941117128,3.0477498270123837e-06
LOW,LOW,0.9820103133708793,0.017988787130091943,8.994990287364692e-07
LOW,LOW,0.9994174411304433,0.0005825155665055769,4.330305132979485e-08
LOW,LOW,0.9816893166011517,0.018304165538645785,6.517860202559816e-06
LOW,LOW,0.8901736242932831,0.10981640057181467,9.975134902375456e-06
LOW,LOW,0.9972433169799162,0.0027497073699291894,6.975650154581971e-06
LOW,LOW,0.9148998608709246,0.08509861470837048,1.5244207050084568e-06
LOW,LOW,0.9966030441299567,0.0033932253402333707,3.730529809991833e-06
MODERATE,MODERATE,0.050973467728545614,0.9485844067186596,0.0004421255527945926
MODERATE,MODERATE,0.012879659893987233,0.9663823514505572,0.020737988655455522
MODERATE,MODERATE,0.050689601372471284,0.9458858718598845,0.003424526767644263
MODERATE,MODERATE,0.021473964033314277,0.9754621613055827,0.0030638746611030025
MODERATE,MODERATE,0.0748436777877745,0.8800978905281378,0.045058431684087595
LOW,LOW,0.9972369583210663,0.0027622724955871014,7.691833465659299e-07
MODERATE,MODERATE,0.0002515387778783535,0.9963899855882677,0.0033584756338539408
MODERATE,MODERATE,0.04127932712743215,0.9584296644697652,0.0002910084028025848
MODERATE,MODERATE,0.0024795914816259455,0.9917041735256112,0.005816234992762865
MODERATE,MODERATE,0.08370876889799517,0.910454969042307,0.005836262059697594
MODERATE,MODERATE,0.039704223488576086,0.9548443222620706,0.0054514542493532825
MODERATE,MODERATE,0.016090766218627855,0.9576526712404008,0.026256562540971175
MODERATE,MODERATE,0.0783213530829404,0.9170062388769168,0.004672408040142819
MODERATE,MODERATE,0.0616648070188367,0.9316792612334615,0.006655931747701789
MODERATE,MODERATE,0.046947922410470126,0.9127968184258969,0.04025525916363313
MODERATE,MODERATE,0.00019291823744060292,0.9974916915733826,0.002315390189176782
LOW,LOW,0.9978084655030154,0.0021915198828152114,1.461416944718763e-08
MODERATE,MODERATE,0.038287136499055026,0.9614089112544929,0.0003039522464520892
MODERATE,MODERATE,0.00397455160544129,0.9876871721627942,0.008338276231764528
MODERATE,MODERATE,0.00834924112105401,0.9750504162739391,0.0166003426050068
MODERATE,MODERATE,0.094628401726248,0.8990881967310524,0.006283401542699563
MODERATE,MODERATE,0.06688896160825213,0.9250418892215237,0.008069149170224235
MODERATE,MODERATE,0.0839982048567258,0.9154894972527711,0.0005122978905031995
MODERATE,MODERATE,0.00876651040172661,0.9742154698436508,0.01701801975462264
HIGH,HIGH,3.0999700718225257e-06,0.04121060496685231,0.9587862950630759
HIGH,HIGH,2.6875021045381417e-06,0.010125239777579884,0.9898720727203156
HIGH,HIGH,1.1383259638494038e-06,0.06458635481766663,0.9354125068563696
LOW,LOW,0.974280611695497,0.02571113555423159,8.252750271566974e-06
HIGH,HIGH,0.002229945117087135,0.061021075129313006,0.9367489797535999
HIGH,HIGH,0.0005947509827821614,0.02972225979831816,0.9696829892188996
HIGH,HIGH,0.001661438172073852,0.05428629190372232,0.9440522699242038
HIGH,HIGH,3.3956769820809995e-05,0.032951284723126695,0.9670147585070524
HIGH,HIGH,2.298222386554391e-05,0.009629716879377954,0.9903473008967565
HIGH,HIGH,8.121328824664593e-09,0.0012452471699641472,0.998754744708707
HIGH,HIGH,3.941129074727891e-06,0.022877079666644547,0.9771189792042807
HIGH,HIGH,3.875717627047236e-06,0.005500176375745273,0.9944959479066277
HIGH,HIGH,0.0006495450424105364,0.02771352372778382,0.9716369312298057
HIGH,HIGH,0.0017100802455397195,0.0299623163211914,0.9683276034332688
LOW,LOW,0.9942324972936606,0.005767239572829077,2.631335104522942e-07
HIGH,HIGH,0.00024866947708392665,0.028121971571390816,0.9716293589515251
HIGH,HIGH,0.0012966073096830283,0.011435316745819409,0.9872680759444975
HIGH,HIGH,3.3974581420334225e-05,0.013499506403631028,0.9864665190149486
HIGH,HIGH,1.082356317842805e-05,0.007261848204666932,0.9927273282321546
HIGH,HIGH,6.098350490365229e-09,0.0011814113505066507,0.9988185825511429
HIGH,HIGH,3.7683699544566264e-06,0.03615554249414508,0.9638406891359005
HIGH,HIGH,2.320782707547533e-06,0.008288111483695302,0.9917095677335972
HIGH,HIGH,0.0006881656360687101,0.023796579372308828,0.9755152549916224
HIGH,HIGH,0.0029222715492571187,0.013884915817059607,0.9831928126336833
HIGH,HIGH,0.0002825229963086698,0.029522992066646058,0.9701944849370453
MODERATE,MODERATE,0.09581728220548268,0.9039977575589853,0.00018496023553196645
LOW,LOW,0.9963442062181567,0.003654942406411525,8.513754317575824e-07
HIGH,HIGH,0.0016383135603730528,0.005136472957104392,0.9932252134825226
HIGH,HIGH,1.024867290097954e-05,0.009877011003128478,0.9901127403239706
HIGH,HIGH,0.0006447230770975507,0.04181413943950448,0.957541137483398
LOW,LOW,0.8243002269588732,0.1756202580904845,7.951495064216664e-05
LOW,LOW,0.9225805215704219,0.0773881438245917,3.1334604986475754e-05
MODERATE,MODERATE,0.2932335043943173,0.6011085197081858,0.10565797589749702
MODERATE,MODERATE,0.09581728220548268,0.9039977575589853,0.00018496023553196645
HIGH,HIGH,3.5531793906153107e-06,0.04131271202238358,0.9586837347982257
HIGH,HIGH,1.7120489556639655e-06,0.03212357236289499,0.9678747155881493
MODERATE,MODERATE,0.0012834492629340852,0.6553235830779719,0.3433929676590939
LOW,LOW,0.9984523023228974,0.001547068020147034,6.296569556253735e-07
LOW,LOW,0.918261855034849,0.08171906061754565,1.9084347605458773e-05
MODERATE,MODERATE,0.2982781562545827,0.455271331701675,0.2464505120437423
MODERATE,MODERATE,0.20468647419169614,0.7943335975155584,0.0009799282927455044
HIGH,HIGH,1.4864199078667834e-05,0.01414273739430607,0.9858423984066154
HIGH,HIGH,5.445489677284209e-09,0.0010627467400687344,0.9989372478144415
MODERATE,MODERATE,0.04070699836525173,0.9169120496825637,0.042380951952184526
HIGH,HIGH,0.0041820513178709995,0.01695908598558473,0.9788588626965443
HIGH,HIGH,0.0004982171055918885,0.06415479025448757,0.9353469926399206
HIGH,HIGH,0.0012744174971178884,0.09536505898250204,0.9033605235203801
HIGH,HIGH,3.6885154993059914e-05,0.025536236438022143,0.9744268784069848
LOW,LOW,0.9767826334222754,0.02306465972105119,0.00015270685667318217
MODERATE,MODERATE,0.002018334696954736,0.9929387611574427,0.005042904145602627
MODERATE,MODERATE,0.07453353150283862,0.9192776111691285,0.006188857328032806
MODERATE,MODERATE,0.08558903597076441,0.9051557227280984,0.009255241301137076
HIGH,HIGH,1.370752616411998e-06,0.041404776231318746,0.9585938530160649
